City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Stephenville,US,83.93,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
365,Abaetetuba,BR,86.04,broken clouds,-1.7181,-48.8825,Hotel Joanayna
366,Jasper,US,71.01,overcast clouds,37.2001,-94.3502,Guest House Motel
367,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
368,Nouakchott,MR,83.77,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
370,Kalmunai,LK,79.84,overcast clouds,7.4167,81.8167,VS Villa
372,Qui Nhon,VN,76.8,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
373,Butaritari,KI,81.36,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
383,Elat,IL,73.24,clear sky,29.5581,34.9482,Club Hotel Eilat
384,Labuan,MY,73.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
385,Santa Cruz De La Palma,ES,75.34,volcanic ash,28.6835,-17.7642,H10 Taburiente Playa
388,Sinnamary,GF,82.26,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
389,Palmer,US,75.31,broken clouds,42.1584,-72.3287,Wedgewood Motel
390,Abu Kamal,SY,70.75,clear sky,34.4506,40.9171,محطة التلفاز
391,Nantucket,US,70.14,clear sky,41.2835,-70.0995,Jared Coffin House
395,Kandi,BJ,79.93,broken clouds,11.1342,2.9386,Baric Motel De Kandi
402,Axim,GH,78.33,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
404,Solwezi,ZM,73.44,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
406,Wanning,CN,77.67,overcast clouds,18.8003,110.3967,Paradise Hotel
407,Marrakesh,MA,77.07,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
408,Acajutla,SV,81.99,broken clouds,13.5928,-89.8275,asi es
410,Popondetta,PG,71.55,overcast clouds,-8.7537,148.2534,Timos Transit House
415,Grand Gaube,MU,75.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
416,Itanagar,IN,70.79,overcast clouds,27.1,93.6167,Hotel Moomsie Itanagar
418,Mahibadhoo,MV,82.0,broken clouds,3.7833,72.9667,Omadhoo Inn
420,Puerto Colombia,CO,86.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
421,Luanda,AO,77.0,few clouds,-8.8368,13.2343,Hotel Fórum
422,Lazaro Cardenas,MX,84.81,overcast clouds,17.9583,-102.2,quinta antigua
423,George Town,MY,76.95,light rain,5.4112,100.3354,Cititel Penang
425,Keffi,NG,73.76,overcast clouds,8.8486,7.8736,Imam Family
428,Seminole,US,86.29,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
429,Nokha,IN,78.87,clear sky,27.6,73.4167,gu khana
430,Acarau,BR,82.58,overcast clouds,-2.8856,-40.12,castelo pizzaria
431,Rumonge,BI,73.99,broken clouds,-3.9736,29.4386,Kwetu Guest House
432,Talaban,PH,77.61,overcast clouds,10.1275,122.8697,Batang Peninsula Beach Resort
433,Sao Jose Da Coroa Grande,BR,79.32,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
438,Vilhena,BR,82.62,scattered clouds,-12.7406,-60.1458,Hotel Mirage
441,Jalingo,NG,76.77,light rain,8.8833,11.3667,Debright Motel
442,Guerrero Negro,MX,71.13,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
445,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
447,La Joya,MX,87.31,broken clouds,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
448,Westport,US,79.05,clear sky,41.1415,-73.3579,The Westport Inn
454,Road Town,VG,86.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
