City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Pangnirtung,CA,66.1451,-65.7125,30.34,68,11,4.43,few clouds
118,Abu Samrah,SY,35.3029,37.1841,65.19,61,0,5.37,clear sky
119,Turukhansk,RU,65.8167,87.9833,35.22,98,100,8.05,moderate rain
120,Mubi,NG,10.2676,13.2644,72.57,85,100,3.47,light rain
121,Mahebourg,MU,-20.4081,57.7,75.25,78,75,11.5,light rain
122,Gigmoto,PH,13.7796,124.39,80.65,86,100,7.65,overcast clouds
123,Coihaique,CL,-45.5752,-72.0662,57.81,62,90,11.5,light intensity shower rain
124,Birao,CF,10.2849,22.7882,75.67,80,100,8.25,overcast clouds
125,Walvis Bay,NA,-22.9575,14.5053,62.1,77,20,5.75,few clouds
126,Slave Lake,CA,55.2834,-114.769,48.18,49,1,19.57,clear sky
127,Rudnogorsk,RU,57.2639,103.7519,26.78,97,79,3.53,broken clouds
128,Gao,ML,16.6362,1.637,89.8,12,34,11.23,scattered clouds
129,Port-Cartier,CA,50.0334,-66.8654,51.75,83,100,1.21,overcast clouds
130,Kumbo,CM,6.2,10.6667,59.05,92,100,1.23,overcast clouds
131,Pokhara,NP,28.2333,83.9833,66.29,92,91,1.66,overcast clouds
132,Mikumi,TZ,-7.4041,36.9831,74.23,59,81,1.39,broken clouds
133,Saskylakh,RU,71.9167,114.0833,3.54,100,98,5.26,overcast clouds
134,Taoudenni,ML,22.6783,-3.9836,79.3,21,1,10.6,clear sky
135,Kaoma,ZM,-14.7833,24.8,69.24,63,49,2.75,scattered clouds
136,Rio Gallegos,AR,-51.6226,-69.2181,57.25,23,0,12.66,clear sky
137,Parabel,RU,58.6978,81.4825,37.51,88,80,6.46,broken clouds
138,Vestmannaeyjar,IS,63.4427,-20.2734,36.99,62,100,18.23,overcast clouds
139,Kangavar,IR,34.5043,47.9653,52.95,51,1,3.31,clear sky
140,Jamestown,US,42.097,-79.2353,69.12,47,1,11.99,clear sky
141,Marsh Harbour,BS,26.5412,-77.0636,80.06,58,72,17.22,broken clouds
142,Kudahuvadhoo,MV,2.6708,72.8944,82.72,69,78,13.09,broken clouds
143,Mantua,IT,45.1667,10.7833,64.72,88,99,5.93,overcast clouds
144,Masvingo,ZW,-20.0637,30.8277,58.01,74,0,5.5,clear sky
145,Arraial Do Cabo,BR,-22.9661,-42.0278,62.46,88,75,3.44,broken clouds
146,Merauke,ID,-8.4667,140.3333,77.65,87,80,7.63,broken clouds
147,Yulara,AU,-25.2406,130.9889,60.64,33,0,6.91,clear sky
148,Whitehorse,CA,60.7161,-135.0538,40.01,55,100,11.99,overcast clouds
149,Kapoeta,SS,4.7717,33.5903,84.43,35,32,8.95,scattered clouds
150,Tabou,CI,4.423,-7.3528,77.68,89,59,8.93,light rain
151,Xam Nua,LA,20.4197,104.0439,64.83,96,61,2.17,broken clouds
152,Touros,BR,-5.1989,-35.4608,83.3,77,100,12.97,overcast clouds
153,Ola,RU,59.5833,151.2833,13.06,46,0,5.61,clear sky
154,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,40,11.5,scattered clouds
155,Charters Towers,AU,-20.1,146.2667,70.97,94,51,8.63,broken clouds
156,Dalvik,IS,65.9702,-18.5286,24.73,73,34,9.26,scattered clouds
157,Ascoli Piceno,IT,42.8548,13.5749,62.83,84,62,5.12,broken clouds
158,Emerald,AU,-23.5333,148.1667,68.99,57,100,5.91,overcast clouds
159,Almaznyy,RU,48.0448,40.045,33.94,46,96,7.27,overcast clouds
160,Indianola,US,41.3581,-93.5574,67.91,86,57,21.39,broken clouds
161,Payo,ID,-3.7508,103.6372,72.54,98,100,1.12,overcast clouds
162,Ibirama,BR,-27.0569,-49.5178,64.83,82,99,4.03,overcast clouds
163,Port-Gentil,GA,-0.7193,8.7815,78.22,84,100,9.1,light rain
164,Dingle,PH,10.9995,122.6711,75.87,93,56,4.68,broken clouds
165,Jaca,ES,42.569,-0.5499,58.12,84,96,3.47,overcast clouds
166,Xambioa,BR,-6.4111,-48.5364,90.23,45,88,6.15,overcast clouds
167,Algiers,DZ,36.7525,3.042,64.22,63,0,2.3,clear sky
168,Howard Springs,AU,-12.497,131.047,84.11,94,67,4.97,broken clouds
169,Dubai,AE,25.2582,55.3047,87.73,62,0,3.44,clear sky
170,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,81,74,3.15,broken clouds
171,Talnakh,RU,69.4865,88.3972,31.71,92,100,16.96,light snow
172,San Cristobal,VE,7.7669,-72.225,80.78,43,11,2.71,few clouds
173,Mocuba,MZ,-16.8392,36.9856,69.73,78,0,3.04,clear sky
174,Ponta Do Sol,PT,32.6667,-17.1,75.0,80,100,6.26,overcast clouds
175,Svetlaya,RU,46.5389,138.3297,31.64,64,64,6.49,broken clouds
176,Souillac,MU,-20.5167,57.5167,75.36,78,75,11.5,light rain
177,Morondava,MG,-20.2833,44.2833,75.88,79,1,13.69,clear sky
178,Iqaluit,CA,63.7506,-68.5145,32.7,80,46,5.39,scattered clouds
179,Tiksi,RU,71.6872,128.8694,11.77,93,100,5.95,overcast clouds
180,Lompoc,US,34.6391,-120.4579,76.1,52,1,17.27,clear sky
181,Nelson Bay,AU,-32.7167,152.15,62.01,96,81,4.65,light rain
182,Petrosani,RO,45.4167,23.3667,40.86,74,40,3.47,scattered clouds
